model,fold_id,macro_f1,balanced_accuracy,brier_score,ece
model_selector_rolling_calibrated,61,0.3714449826130154,0.4138042005420054,0.7227618979094504,0.18597206557300727
model_selector_rolling_calibrated,62,0.31495125373606453,0.33303052325581395,0.656894582882918,0.1719893260461064
model_selector_rolling_calibrated,63,0.47818584583518914,0.5341813273398951,0.5818737135206011,0.07580603260389518
model_selector_rolling_calibrated,64,0.4475550815109909,0.44277978882685387,0.5481469464128728,0.06880518416283836
model_selector_rolling_calibrated,65,0.4556942233137945,0.4641198964969456,0.5951533061206092,0.17312427403781339
model_selector_rolling_calibrated,66,0.49608636020139096,0.5420129125151028,0.5582299773861651,0.07666930724197711
model_selector_rolling_calibrated,67,0.4679284895909512,0.4761149327218756,0.585283145861797,0.09067704825893814
model_selector_rolling_calibrated,68,0.41244810842760116,0.4396106067845198,0.5745810703711693,0.09438772324665053
model_selector_rolling_calibrated,69,0.5010152056743946,0.49980126185703005,0.5852671485603907,0.07925981632980382
model_selector_rolling_calibrated,70,0.46850012732365676,0.47832713298815,0.6147399621707954,0.08807017769612056
