fold_id,model,macro_f1,balanced_accuracy,brier_score,ece,switch_frequency,mean_entropy,val_start,test_start,test_end
38,ensemble,0.4488287103316974,0.5401493930905695,0.6200864924020116,0.19458797839885583,0.09905660377358491,0.6970504522323608,2016-05-06,2017-05-08,2018-05-07
39,ensemble,0.46777357532342567,0.5584402115423901,0.6157998468652703,0.1982554021015973,0.1320754716981132,0.706905722618103,2016-08-05,2017-08-07,2018-08-06
40,ensemble,0.4608901032406199,0.5169766865079366,0.5359408605855432,0.0868196452447506,0.1650943396226415,0.8608935475349426,2016-11-03,2017-11-03,2018-11-02
41,ensemble,0.43900739760461854,0.4889183542269367,0.5330592328598291,0.12784817884785468,0.10849056603773585,0.8054015636444092,2017-02-06,2018-02-06,2019-02-06
42,ensemble,0.4360580840005619,0.5258189434041461,0.5722453227758886,0.1286412241033545,0.08962264150943396,0.809196949005127,2017-05-08,2018-05-08,2019-05-08
43,ensemble,0.3781499202551834,0.48887931240872423,0.5752392583182978,0.12515490743475904,0.09905660377358491,0.8260628581047058,2017-08-07,2018-08-07,2019-08-07
44,ensemble,0.44734037080856254,0.48398465642463545,0.6130142652800153,0.13558088054119705,0.1650943396226415,0.8260006904602051,2017-11-03,2018-11-05,2019-11-05
45,ensemble,0.346086860670194,0.4215380284448361,0.66692534531058,0.2668735285600026,0.13679245283018868,0.8195024132728577,2018-02-06,2019-02-07,2020-02-06
46,ensemble,0.39544326641100835,0.45763735075890144,0.6319680291043173,0.2232369325810195,0.17452830188679244,0.7598971724510193,2018-05-08,2019-05-09,2020-05-07
47,ensemble,0.4059574731403201,0.5751733620277379,0.5803850922161737,0.11339311532571282,0.10849056603773585,0.8796443939208984,2018-08-07,2019-08-08,2020-08-06
48,ensemble,0.4767036994978171,0.5154213414089039,0.5397690352864442,0.1064810000115157,0.17452830188679244,0.871942937374115,2018-11-05,2019-11-06,2020-11-04
